Question;Answer
How much did Microsoft’s total revenue grow from 2021 to 2022?;30,182 million dollars
How much did Microsoft’s total revenue grow from 2022 to 2023?;13,645 million dollars
How much did Microsoft’s net income grow from 2021 to 2022?;11,467 million dollars
How much did Microsoft’s net income decrease from 2022 to 2023?;-377 million dollars
How much did Microsoft’s total assets increase from 2021 to 2022?;31,061 million dollars
How much did Microsoft’s total assets increase from 2022 to 2023?;47,136 million dollars
How much did Microsoft’s total liabilities increase from 2021 to 2022?;6,507 million dollars
How much did Microsoft’s total liabilities increase from 2022 to 2023?;7,455 million dollars
How much did Microsoft’s cash flow from operating activities increase from 2021 to 2022?;12,295 million dollars
How much did Microsoft’s cash flow from operating activities decrease from 2022 to 2023?;-1,453 million dollars
What was the percentage increase in Microsoft’s total assets from 2021 to 2022?;9.30%
What was the percentage increase in Microsoft’s total assets from 2022 to 2023?;12.93%
What was the percentage increase in Microsoft’s total liabilities from 2021 to 2022?;3.39%
What was the percentage increase in Microsoft’s total liabilities from 2022 to 2023?;3.75%
What was the percentage increase in Microsoft’s cash flow from operating activities from 2021 to 2022?;16.01%
What was the percentage decrease in Microsoft’s cash flow from operating activities from 2022 to 2023?;-1.63%
What was Microsoft’s total revenue in dollars for the fiscal year 2021?;168,088,000,000
What was Microsoft’s total revenue in dollars for the fiscal year 2022?;198,270,000,000
What was Microsoft’s total revenue in dollars for the fiscal year 2023?;211,915,000,000
What was Microsoft’s net income in dollars for the fiscal year 2021?;61,271,000,000
What was Microsoft’s net income in dollars for the fiscal year 2022?;72,738,000,000
What was Microsoft’s net income in dollars for the fiscal year 2023?;72,361,000,000
What were Microsoft’s total assets in dollars for the fiscal year 2021?;333,779,000,000
What were Microsoft’s total assets in dollars for the fiscal year 2022?;364,840,000,000
What were Microsoft’s total assets in dollars for the fiscal year 2023?;411,976,000,000
What were Microsoft’s total liabilities in dollars for the fiscal year 2021?;191,791,000,000
What were Microsoft’s total liabilities in dollars for the fiscal year 2022?;198,298,000,000
What were Microsoft’s total liabilities in dollars for the fiscal year 2023?;205,753,000,000
What was Microsoft’s cash flow from operating activities in dollars for the fiscal year 2021?;76,740,000,000
